"keyID","languageID","text"
368497,ko,워바지 부품
368497,de,Angriffstransporterbauteil
368497,it,Componente del vascello da guerra
368497,es,Componente de transportador
368497,fr,Composant de barges de guerre
368497,en,Warbarge Component
368497,ja,Warbarge部品
368497,ru,Комплектующая десантных барж
368497,zh,战争驳船组件
367845,ko,인스턴트_부스터4
367845,it,instant_booster4
367845,ru,instant_booster4
367845,fr,instant_booster4
367845,en,instant_booster4
367845,zh,instant_booster4
367845,de,instant_booster4
367845,es,instant_booster4
367845,ja,instant_booster4
367843,ko,미션_리롤
367843,ru,mission_reroll
367843,de,mission_reroll
367843,en,mission_reroll
367843,zh,mission_reroll
367843,ja,mission_reroll
367843,it,mission_reroll
367843,es,mission_reroll
367843,fr,mission_reroll
367779,ko,복합 해독기_테스트
367779,it,Chiave crittografica complessa_test
367779,en,Complex Decryptor_test
367779,es,Complex Decryptor_test
367779,fr,Décrypteur complexe_test
367779,de,Komplexer Decodierer_test
367779,ru,Усложненный дешифратор_тест
367779,zh,复杂型解码器（测试）
367779,ja,複合ディクリプタ_テスト
367778,ko,향상된 해독기1
367778,it,Chiave crittografica potenziata 1
367778,fr,Décrypteur optimisé 1
367778,es,Desencriptador mejorado 1
367778,en,Enhanced Decryptor1
367778,de,Verbesserter Decodierer1
367778,ru,Улучшенный дешифратор1
367778,zh,增强型解码器1
367778,ja,強化型ディクリプタ1
367777,ko,기본 해독기2
367777,en,Basic Decryptor2
367777,it,Chiave crittografica base 2
367777,fr,Décrypteur basique 2
367777,es,Desencriptador básico 2
367777,de,Einfacher Decodierer2
367777,ru,Базовый дешифратор2
367777,ja,基本ディクリプタ2
367777,zh,基础型解码器2
367770,ko,해킹된 해독열쇠
367770,it,Chiave crittografica hackerata
367770,fr,Clé de cryptage piratée
367770,de,Gehackter Decodierungsschlüssel
367770,en,Hacked Decryptor Key
367770,es,Llave de desencriptación pirateada
367770,ru,Взломанный ключ-дешифратор
367770,ja,ハッキングされたディクリプタキー
367770,zh,被破译的解码器密钥
367768,ko,암호화된 특수 금고
367768,de,Besonderer verschlüsselter Tresor
367768,es,Caja fuerte encriptada especial
367768,fr,Coffre-fort crypté spécial
367768,it,Forziere criptato speciale
367768,en,Special Encrypted Strongbox
367768,ru,Специальный зашифрованный сейф
367768,zh,特殊加密保险箱
367768,ja,特殊暗号化金庫
367765,ko,암호화된 금고
367765,es,Caja fuerte encriptada
367765,fr,Coffre-fort crypté
367765,en,Encrypted Strongbox
367765,it,Forziere criptato
367765,de,Verschlüsselter Tresor
367765,ru,Зашифрованный сейф
367765,zh,加密保险箱
367765,ja,暗号化された金庫
367598,ko,순간 부스터 4X
367598,zh,"4倍即时增效剂"
367598,fr,Booster instantané 4X
367598,en,Instant Booster 4X
367598,es,Potenciador inmediato 4X
367598,it,Potenziamento istantaneo 4X
367598,de,Sofortbooster 4X
367598,ru,Мгновенный бустер 4X
367598,ja,インスタントブースター4X
367597,ko,순간 부스터 3X
367597,zh,"3倍即时增效剂"
367597,fr,Booster instantané 3X
367597,en,Instant Booster 3X
367597,es,Potenciador inmediato 3X
367597,it,Potenziamento istantaneo 3X
367597,de,Sofortbooster 3X
367597,ru,Мгновенный бустер 3X
367597,ja,インスタントブースター3X
367596,ko,순간 부스터 2X
367596,zh,"2倍即时增效剂"
367596,fr,Booster instantané 2X
367596,en,Instant Booster 2X
367596,es,Potenciador inmediato 2X
367596,it,Potenziamento istantaneo 2X
367596,de,Sofortbooster 2X
367596,ru,Мгновенный бустер 2X
367596,ja,インスタントブースター2X
367578,ko,자라 쿠모라 - 계약
367578,en,Jara Kumora - Contract
367578,fr,Jara Kumora - Contrat
367578,es,Jara Kumora: contrato
367578,it,Jara Kumora - Contratto
367578,de,Jara Kumora - Vertrag
367578,ru,Jara Kumora - Контракт
367578,ja,ジャラ・クモラ - 契約
367578,zh,瑕哈·库莫哈 - 合同
367499,ko,스킬 트리 초기화
367499,fr,Réinitialisation de l'arbre de compétences et remboursement
367499,it,Resetta e rinnova l'albero delle abilità
367499,es,Restablecimiento del árbol de habilidades y devolución de puntos
367499,de,Skillbaum-Zurücksetzung und Erstattung
367499,en,Skill Tree Reset and Refund
367499,ru,Сброс и возврат очков древа навыков
367499,ja,スキルツリーリセットおよび返金
367499,zh,技能树重置与返还
366971,ko,녹아내린 방열판
366971,es,Disipador térmico fundido
366971,it,Dissipatore di calore fuso
366971,de,Geschmolzener Kühler
366971,en,Melted Heat Sink
366971,fr,Radiateur fondu
366971,ru,Оплавленный тепловой радиатор
366971,ja,溶けたヒートシンク
366971,zh,融化式散热槽
366970,ko,산산조각난 열차폐막
366970,fr,Écran thermique brisé
366970,es,Escudo térmico destruido
366970,it,Scudo anticalore spaccato
366970,en,Shattered Heat Shield
366970,de,Zerbrochener Hitzeschild
366970,ru,Раздробленный тепловой щит
366970,zh,破碎的隔热盾
366970,ja,粉々になったヒートシールド
366969,ko,고장난 옵트로닉 사이트
366969,de,Beschädigtes optronisches Visier
366969,en,Broken Optronic Sight
366969,es,Mira optrónica rota
366969,fr,Mire optronique cassée
366969,it,Mirino optronico rotto
366969,ru,Сломанный оптико-электронный прицел
366969,ja,壊れたオプトロニック視力
366969,zh,损坏的光电瞄准器
366968,ko,파괴된 무기고
366968,it,Alloggiamento caricatore distrutto
366968,fr,Boîtier de magasin écrasé
366968,en,Crushed Magazine Housing
366968,es,Cubierta de cargador aplastada
366968,de,Zerdrücktes Magazingehäuse
366968,ru,Раздавленный кожух магазина
366968,ja,つぶれたマガジンハウジング
366968,zh,破碎的弹匣外壳
366967,ko,훼손된 코일 시설
366967,fr,Assemblage de bobines endommagé
366967,it,Assemblaggio bobina distrutto
366967,es,Conjunto de bobina destrozado
366967,en,Mangled Coil Assembly
366967,de,Verkrümmter Spulensatz
366967,ru,Искореженная катушка в сборе
366967,ja,ずたずたのコイル装置
366967,zh,变形的线圈总成
89395,en,"1-st Innominate Palace Landmark"
89219,en,Stability Telemetry
89193,ko,정찰 상급 군사 비컨
89193,fr,Balise militaire d'éclaireur avancée
89193,es,Baliza militar avanzada exploradora
89193,de,Scout Advanced Military Beacon
89193,en,Scout Advanced Military Beacon
89193,ru,Scout Advanced Military Beacon
89193,zh,侦察高级军事信标
89193,ja,偵察用アドバンスト軍事ビーコン
89156,en,Vigilance Resonance Key
89121,en,Eos Luminaire Rising SKIN
89121,de,Eos Luminaire Rising SKIN
89121,ru,Eos Luminaire Rising SKIN
89121,ko,에오스 '루미네어 라이징' SKIN
89121,es,SKIN de Alba de Luminaire para la Eos
89121,fr,"SKIN Eos, édition Lever de Luminaire"
89121,ja,エオス・ルミネールライジングSKIN
89121,zh,曙光女神级泛光升腾涂装
89120,ru,Phobos Luminaire Rising SKIN
89120,de,Phobos Luminaire Rising SKIN
89120,en,Phobos Luminaire Rising SKIN
89120,ko,포보스 '루미네어 라이징' SKIN
89120,es,SKIN de Alba de Luminaire para la Phobos
89120,fr,"SKIN Phobos, édition Lever de Luminaire"
89120,ja,フォボス・ルミネールライジングSKIN
89120,zh,伏波斯级泛光升腾涂装
89119,de,Eris Luminaire Rising SKIN
89119,ru,Eris Luminaire Rising SKIN
89119,en,Eris Luminaire Rising SKIN
89119,ko,에리스 '루미네어 라이징' SKIN
89119,es,SKIN de Alba de Luminaire para la Eris
89119,fr,"SKIN Eris, édition Lever de Luminaire"
89119,ja,エリス・ルミネールライジングSKIN
89119,zh,厄里斯级泛光升腾涂装
89118,de,Moros Navy Issue Luminaire Rising SKIN
89118,en,Moros Navy Issue Luminaire Rising SKIN
89118,ru,Moros Navy Issue Luminaire Rising SKIN
89118,ko,모로스 해군 에디션 '루미네어 라이징' SKIN
89118,es,SKIN de Alba de Luminaire para la Moros modelo de la Armada
89118,fr,"SKIN Moros Navy Issue, édition Lever de Luminaire"
89118,ja,モロス海軍仕様ルミネールライジングSKIN
89118,zh,莫洛级海军型泛光升腾涂装
89117,de,Hyperion Luminaire Rising SKIN
89117,en,Hyperion Luminaire Rising SKIN
89117,ru,Hyperion Luminaire Rising SKIN
89117,ko,히페리온 '루미네어 라이징' SKIN
89117,es,SKIN de Alba de Luminaire para la Hyperion
89117,fr,"SKIN Hyperion, édition Lever de Luminaire"
89117,ja,ハイペリオン・ルミネールライジングSKIN
89117,zh,亥伯龙神级泛光升腾涂装
89116,ko,트리스탄 '루미네어 라이징' SKIN
89116,es,SKIN de Alba de Luminaire para la Tristan
89116,fr,"SKIN Tristan, édition Lever de Luminaire"
